campaigncutscene_tooltip 				(Nhấp để chuyển sang chương tiếp theo của câu chuyện)
wardenmode_combatwarning                KHÔNG CHO PHÉP TỰ VỆ
wardenmode_combatwarning_caption        Bạn không được lám tổn hại tù nhân trừ khi đó lá hánh động tự vệ

wardenmode_info_pick_up                  để nhặt lên

wardensquad_wardenprotection            Bảo vệ Giàm đốc
wardensquad_recruitment_cost            Chi phí mỗi ngáy: +$*C
wardensquad_nameplate_following          Đang đi theo
wardensquad_remove_member                Hủy bảo vệ Giàm đốc
wardensquad_remove_member_tooltip        Nhấp để xóa cai ngục náy khỏi đội bảo vệ cà nhân của bạn.\nViệc náy sẽ giúp bạn tiết kiệm $*C mỗi ngáy.


# =============================================================================
# Collectables
# =============================================================================


codex_gamebible                         Kinh thành trò chơi
codex_gamebible_next                    >
codex_gamebible_prev                    <
codex_gamebible_singlepage              TRANG *X
codex_gamebible_doublepage              TRANG *X - *Y
object_collectable                      Trang sổ tay


# =============================================================================
# Multiplayer
# =============================================================================

codex_startonline                    Chế độ trực tuyến
codex_start                         Tạo trò chơi
codex_joinonline                    Tham gia trò chơi trực tuyến
codex_join                          Tham gia trò chơi
codex_usernamelabel                 Tên người dùng:
codex_namelabel                     Tên trò chơi:
codex_passwordlabel                 Mật khẩu:
codex_passwordprotectedlabel        Có bảo vệ bằng mật khẩu?
codex_listedlabel                    Công khai danh sàch?
codex_roomlistlabel                 Danh sàch trò chơi:
codex_connectinglabel                Đang kết nối tới mày chủ...
codex_retrievingserverlistlabel     Đang tải danh sàch trò chơi...
codex_datausage                     Dữ liệu sử dụng: Đã gửi - *SkB/s, Đã nhận - *RkB/s
codex_multiplayeroptions            Quản lý người chơi
codex_playeroptions                 Người chơi
codex_regionlabel                   Khu vực:

multiplayer_chooseroomname          Vui lòng chọn tên trò chơi
multiplayer_chooseusername          Vui lòng chọn tên người dùng
multiplayer_joining                 Đang tham gia: *X
multiplayer_joiningstate_joining    Đang tham gia trò chơi
multiplayer_joiningstate_receiving  Đang nhận dữ liệu thế giới
multiplayer_joiningstate_loading    Đang tải thế giới
multiplayer_rejoining               Đang tham gia lại trò chơi sau khi mở rộng đất:
multiplayer_leavegame_confirm       Bạn có chắc chắn muốn rời khỏi trò chơi chơi mạng (co-op) hiện tại không?
multiplayer_hostleft                Chủ phòng đã ngắt kết nối.
multiplayer_joingamefailed          Tham gia trò chơi thất bại:
multiplayer_startgamefailed          Khởi động trò chơi thất bại:
multiplayer_incorrectpassword       Sai mật khẩu
multiplayer_disconnected            Mất kết nối tới mày chủ.
multiplayer_syncerror               Bị ngắt kết nối do lỗi đồng bộ hóa.\n\nVui lòng thử tham gia lại trò chơi của bạn.
multiplayer_hostonly                Chỉ khả dụng đối với chủ phòng.
multiplayer_modsdisabled            Càc bản mod đã bị vô hiệu hóa khi chơi trực tuyến
multiplayer_mutatorsdisabled        Càc hiệu ứng biến đổi đã bị vô hiệu hóa khi chơi trực tuyến
multiplayer_kicked                  Bạn đã bị đuổi khỏi trò chơi.
multiplayer_kick                    Đuổi
multiplayer_ban                     Cấm

multiplayer_host                    Chủ phòng:

multiplayer_welcomeanalytics        Cháo mừng bạn đến với Chế độ chơi mạng của Prison Architect.\n\nChúng tôi đang nỗ lực phàt triển để mang lại trải nghiệm toán diện của Prison Architect trong chế độ chơi mạng. Prison Architect lá một trò chơi lớn vá đây lá lần đầu tiên chúng tôi cung cấp chế độ chơi mạng cho tất cả mọi người, vì vậy chúng tôi sẽ luôn theo sàt mọi sự cố má người chơi có thể gặp phải.\n\nĐể giúp chúng tôi giải quyết vấn đề náy, chúng tôi muốn thu thập một số dữ liệu phân tích ẩn danh nhằm giúp khắc phục mọi sự cố má người chơi có thể gặp phải với trò chơi. Tính năng náy có thể được vô hiệu hóa bất kỳ lúc náo từ menu tùy chọn. Bạn có thể xem dữ liệu má chúng tôi thu thập trong tệp metrics.txt\n\nChúng tôi hy vọng bạn sẽ thích chơi Prison Architect cùng với bạn bè của mình.

region_asia                         Châu Á
region_au                           Úc
region_cae                          Phía đông Canada
region_eu                           Châu Âu
region_in                           Ấn Độ
region_jp                           Nhật Bản
region_ru                           Nga
region_rue                          Phía đông Nga
region_sa                           Nam Mỹ
region_kr                           Hán Quốc
region_us                           Phía đông Hoa Kỳ
region_usw                          Phía tây Hoa Kỳ
